rank	term	df	tf	example
0	ءأخذکم	1	1	یا معشر الرّوم نسمع بینکم صوت البوم ءأخذکم سکر الهوى أم کنتم من الغافلین.
1	آئینهٴ	1	1	هر که زنگ خواهش از آئینهٴ دل زدود سزاوار این پوشش یزدانی شد.
2	آبآئهم	1	1	صلّ اللّهمّ علیهم و کبّر اللّهمّ علی وجوههم بتکبیر اشرقت شمسه من افق فم مشیّتک و ظهرت انواره من ملکوت بیانک. ای ربّ فاغمسهم فی بحر رحمتک و نوّرهم بانوار فجر ظهورک. ثمّ اغفر یا الهی آبآئهم و امّهاتهم بجودک و کرمک و الطافک. ثمّ ارسل علیهم عن یمین جنّتک العلیا نفحات قمیص جمالک الابهی. انّک انت المقتدر علی ما تشآء و انّک انت الحاکم الآمر المعطی الغفور الکریم. و الحمد لک یا محبوب العالم و یا ایّها المذکور فی قلوب العارفین.
3	آباء	1	1	و چه مقدار از آباء که بی‌پسر گشته‌اند.
4	آبائک	1	1	سوف تفنی الدّنیا و ما عندک و یبقی الملک لله ربّک و ربّ آبائک الأوّلین.
5	آباد	1	1	أرض الخاء إشارة إلى مقاطعة خراسان الإیرانیّة والمناطق المجاورة لها، والتی تضمّ مدینة عشق آباد
6	آبی	1	1	از کثرت الحاح حاضرین لوح آبی بزرگی بیرون آورد که در نهایت لطافت و بخطّ خفیّ خوش شکسته بغایت ظرافت و اتقان نوشته و بقسمی در هم بهیئت هیکل انسانی مرقوم نموده بود که گمان میشد یک قطعه مرکّب بر کاغذ است.
7	آتشبارتر	1	1	در ممالک المان صنعت تفنگ جدیدی و در ممالک نمچه ایجاد توپ نحاسی تازه‌ئی نموده‌اند که از تفنگ هنری مارتی و توپ کروپ آتشبارتر و در هدم بنیان انسانی شدیدتر و سریع التّأثیرتر است
8	آتیناک	1	1	قد اودعناک و آتیناک عزّاً من عند الله اذ عین فؤادک لطیف.
9	آتیه	1	1	مشروط باینکه اگر یوم بؤس سنهٔ آتیه حنظله را تسلیم ننماید هر حکم که پادشاه اراده فرماید در حقّ او جاری کند
10	آثارش	1	1	و آثارش در جمیع اشیای عالم ظاهر و هویدا.
11	آثارشان	1	1	تفاصیل واقعهٔ در زمان بعثت انبیای سلف علیهم السّلام و اطوار و احوال و آثارشان کما هو حقّه در تواریخ معتبره مفصّلاً مذکور نه بلکه در آیات قرآنیّه و احادیث و توریة مجمل ذکر شده.
12	آجرتمونا	1	1	بعد الّذی استأجرناکم و ما آجرتمونا.
