term	idf	df	example
آفریدگان	9.1943	2	پس گوهر پاک مردمرا از میان آفریدگان برگزید و او را بپوشش بزرگی آرایش فرمود.
أبرز	9.1943	2	وعلاوة على مواصلة حضرة ولی أمرالله شرح أهمیة الطّابع الروحانی والاجتماعی للضّیافة التسع عشریّة، أبرز الجانب الإداری لهذا الاجتماع، فنظّم الضیافة وخصّص فیها فترة للتشاور حول شئون الجامعة البهائیة، بما فی ذلک تبادل الأخبار والمراسلات.
أخیه	9.1943	2	کما وصفه حضرة الباب فی کتاب قیّوم الأسماء بأنّه یوسف الحقّ، وتنبّأ بما سیقاسیه على ید أخیه الخائن انظر الشرح فقرة 190 .
أداؤها	9.1943	2	أمّا إذا حلّ وقت الصلاة وکان المسافر مستریحا وفی مکان آمن، وجب أداؤها فی وقتها، وحُکم القضاء یسری فی السفر والحضر على السواء.
أذکر	9.1943	2	أذکر من کان أعظم منک شأناً وأکبر منک مقاماً أین هو وما عنده انتبه ولا تکن من الرّاقدین.
أمرناکم	9.1943	2	إنا أمرناکم بکسر حدودات النفس والهوى لا ما رقم من القلم الأعلى إنه لروح الحیوان لمن فی الإمکان.
أنزلها	9.1943	2	اشتملت بعض الألواح المبارکة التی أنزلها حضرة بهاءالله بعد الکتاب الأقدس على آیات متمّمة لأحکام ذلک الکتاب المبین، وقد نُشر معظمها فی مجموعة من ألواح حضرة بهاءالله نزّلت بعد الکتاب الأقدس.
اتابک	9.1943	2	میرزا تقی خان امیرنظام وزیر اعظم و اتابک معظّم شد زمام امور جمهور را در قبضهٔ اقتدار و استقلال گرفت و سمند همّت را در میدان خودسری و استبداد بتاخت.
اثرها	9.1943	2	فانّها حین طلوعها عن افقها تکون حرارتها و اثرها قلیلة.
اثنای	9.1943	2	و خود باب اهمّیّتی باین شور و آشوب نداده در نهایت جذب و وله در اثنای طریق و قلعهٔ ماکو و چهریق شام و سحر بلکه روز و شب خود را بذکر و فکر و اوصاف و نعوت آن شخص غائب حاضر و منظور ناظر خویش حصر نموده بود.
اجساد	9.1943	2	لک ان تنطق الیوم بما تشتعل به الأفئدة و تطیر اجساد المقبلین.
احتجبوا	9.1943	2	و الّذین احتجبوا ظنّوا بأنّهم مطفئ نورک و مخمد نارک و مرکد اریاح فضلک.
احراق	9.1943	2	و یا خود بجهت آنکه در شام عیش مهیّا و سفرهٔ مهنّائی حاضر سازد در روز بتخریب وطن و بلاد و احراق قلوب عباد مشغول گردد و خود را در درگاه حضرت کبریا مردود و از دربار معدلت‌مدار مطرود و در نزد جمهور اهالی بدنام و ذلیل نماید؟
احمدی	9.1943	2	احمدی ربّک قد کنت محترقة بنار الفراق اذاً ماج بحر الوصال امام وجهک بذلک قرّت عینک و عین الوجود و ابتسم ثغر الغیب و الشّهود.
اخترت	9.1943	2	فلمّا اردت ان تعرف فخلقت العالم الاکبر و الاصغر و اخترت منهما الانسان و جعلته حاکیاً عنهما یا ربّنا الرّحمن.
اختصصت	9.1943	2	و به طرّزت دیباج کتاب اوامرک بین بریّتک و زیّنت صحائف احکامک لمن فی ارضک و سمائک و اختصصت کلّ ساعة منها بفضیلة لم یحط بها الّا علمک الّذی احاط الأشیآء کلّها.
ادبیات	9.1943	2	چنانچه موٴلّف محقّق مشهور دریبار از اهالی فرانسه که در نزد جمیع موٴلّفین و دانایان اروپ اطّلاع و مهارت و دانائیش مسلّم است در کتاب مسمّی به ترقّی امم در ادبیّات که از تاٴلیفات مشهورهٴ اوست در این باب یعنی اکتساب ملل اروپ قوانین مدنیّت و قواعد ترقّی و سعادت را از اسلام شرح مبسوطی بیان نموده.
اذکروه	9.1943	2	خرّوا بوجوهکم سجّداً لله ثمّ اذکروه فی آنآء اللّیل و اطراف النّهار.
ارسلناها	9.1943	2	هذه آیات انزلناها من قبل فی اوّل ورودنا فی سجن عکّا و ارسلناها الیک لتعرف ما نطقت به السنتهم الکذبة اذ اتی الأمر بقدرة و سلطان.
اریاحها	9.1943	2	و من هزیز اریاحها قد اتی المالک.
استشهد	9.1943	2	و انت تعلم یا الهی لم یکن فی ارضک من ینسب الیک الّا هؤلآء الّذین استشهد منهم عدّة و بقی عدّة اخری.
