rank	term	df	tf	example
0	آثارک	10	10	اشهد یا الهی هذا یوم فیه تمّت حجّتک و ظهرت بیّناتک و نزّلت آیاتک و لاحت آثارک و انار وجهک و کمل برهانک و احاطت قدرتک و سبقت رحمتک و اشرقت شمس فضلک علی شأن اظهرت مظهر نفسک و مخزن علمک و مطلع عظمتک و اقتدارک.
1	آزاد	10	10	و مقصود رفع آنچه سبب اختلاف احزاب عالم و تفریق امم است بوده و هست تا کل فارغ و آزاد شوند و بخود پردازند.
2	آنجا	10	10	و چون وارد حبس شدیم بعد از ورود ما را داخل دالانی ظلمانی نمودند از آنجا از سه پلّهٔ سراشیب گذشتیم و بمقرّی که معیّن نموده بودند رسیدیم.
3	آنست	10	10	اسألک بضجیج المشتاقین فی هجرک و صریخ العاشقین فی بعدهم عن لقائک بأن ترزقنی خمر عرفانک و کوثر حبّک و رضائک ای ربّ هذه امة الّتی نسیت ما سواک و آنست بحبّک و ناحت فیما ورد علیک من اشرار خلقک.
4	أحب	10	10	ولکن التعجیل بدفن المیّت أحبّ وأولى
5	أنا	10	10	لا تحسبنّ أنّا نزّلنا لکم الأحکام بل فتحنا ختم الرحیق المختوم بأصابع القدرة والاقتدار.
6	إلیک	10	10	إشارة إلى تمجید حضرة الباب فی اللّوح الذی وجّهه إلى من یظهره الله بقوله إنّ البیان هدیّةً منّی إلیک
7	اتبعوا	10	10	اتّبعوا ما أمرتم به من مطلع البیان
8	اجتناب	10	10	اعراض و اجتناب ناس را سبب بعضی از علمای ایران و اعمال ناشایستهٔ جهّال بوده.
9	اجرا	10	10	هر مطلبی باشد اظهار فرمائید اجرا میگردد.
10	احفظه	10	10	ثمّ احفظه یا الهی بعظمتک الکبری عن کلّ ما یکرهه رضاک.
11	اخبار	10	10	در ورق‌ اخبار این کلمات مذکور قوله در تقلّبکاری بعضی از منفیّان عکّا و تعدّیاتی که از آنان بر بعضی وارد شده الى آخر قوله
12	ادنی	10	10	انّ مطلع آیاتک و مظهر شئوناتک مع بحر علمه و سمآء عرفانه اعترف بعجزه عن عرفان ادنی آیة من آیاتک الّتی تنسب الی قلمک الاعلی فکیف ذاتک الابهی و کینونتک العلیا.
13	اردنا	10	10	ای ربّ تری و تعلم انّ الّذین اردنا منهم العدل و الانصاف قاموا علینا بالظّلم و الاعتساف.
