term	idf	df	example
تلک	6.7376	34	لا تجزعوا فی المصائب ولا تفرحوا ابتغوا أمراً بین الأمرین هو التّذکّر فی تلک الحالة والتّنبّه على ما یرد علیکم فی العاقبة
احبتک	6.8272	31	اسألک یا فاطر السّمآء و مالک الأسمآء بنفسک الأبهی و ذکرک العلیّ الأعلی ان تنزل علی احبّتک ما یقرّبهم الیک و یسمعهم آیاتک.
یقدر	6.8272	31	لو لم یکن البلایا حامل حکمتک و القضایا وعآء تدبیرک لن یقدر احد ان یعترض علینا ولو یجتمع اهل السّموات و الأرض.
الوهاب	6.8589	30	إنه لهو المعطی الوهاب
تسعة	6.8589	30	لفظ بهاء یساوی العدد تسعة وفقاً للحساب الأبجدیّ
شهادت	6.8589	30	شهادت میدهم که تو بوصف ممکنات معروف نشوی و باذکار موجودات موصوف نگردی.
وصف	6.8589	30	وصف حضرة الباب فی کتاب البیان العربیّ أحکام المواریث التی سنّها بقوله ذلک من مخزون العلم فی کتاب الله لن یغیّر ولن یبدّل
اعلام	6.8917	29	ثمّ اجعل قلوبهم زبر الحدید لئلّا تخوّفهم سطوة الّذینهم ظلموا علی مظهر ذاتک و مطلع غیبک و لیقومنّ کلّ علی ذکرک و نصرتک لترفع بهم اعلام نصرک فی مملکتک و رایات امرک فی دیارک.
بشریه	6.9256	28	جمیع احزاب شب و روز اسیر تشویش و اضطراب بودند مدنیّت بکلّی مختل و ضبط و ربط ممالک مهمل و اصول و اساس سعادت جمعیّت بشریّه معطّل و ارکان حکومت سلاطین متزلزل مگر نفوذ و اقتدار رؤسای دین و رهابین در جمیع اقطاع مکمّل بود.
نبود	6.9256	28	بر منابر ارتقا جست و نطق نمود بکلماتی که سزاوار نبود.
پادشاه	6.9256	28	و چون مظلوم از سجن خارج حسب الأمر حضرت پادشاه حرسه الله تعالى مع غلام دولت علیّهٔ ایران و دولت بهیّهٔ روس به عراق عرب توجّه نمودیم.
کردند	6.9256	28	و بعد بجنود حکمت و بیان و نصیحت و عرفان کل بحبل متین صبر و ذیل منیر اصطبار تمسّک جستند و تشبّث نمودند بشأنی که آنچه بر این حزب مظلوم وارد شد تحمّل کردند و بحقّ گذاشتند مع آنکه در مازندران و رشت جمع کثیری را ببدترین عذاب معذّب نمودند.
اعرضوا	6.9607	27	سبحانک اللّهمّ یا الهی اسألک باسمک الأعظم الّذی ابتلی بین ایدی المشرکین من بریّتک و احاطته الأحزان من کلّ الجهات علی شأن لا یذکر بالبیان بأن توفّقنی علی ذکرک و ثنائک فی هذه الأیّام الّتی کلّ اعرضوا عن جمالک و اعترضوا علیک و استکبروا علی مظهر امرک.
المشرکین	6.9607	27	سبحانک اللّهمّ یا الهی اسألک باسمک الأعظم الّذی ابتلی بین ایدی المشرکین من بریّتک و احاطته الأحزان من کلّ الجهات علی شأن لا یذکر بالبیان بأن توفّقنی علی ذکرک و ثنائک فی هذه الأیّام الّتی کلّ اعرضوا عن جمالک و اعترضوا علیک و استکبروا علی مظهر امرک.
بأی	6.9607	27	لم ادر یا الهی بأیّ جهة ترکتنی بین اعادی نفسک.
البلاد	6.9971	26	اسألک باسمک الأعظم الّذی به احییت العباد و عمّرت البلاد و بأسمائک الحسنی و صفاتک العلیا بأن تؤیّد عبادک علی الاقبال الی شطر مواهبک و التّوجّه الی کعبة عرفانک.
بجودک	6.9971	26	لا تجعله محروماً من کأس الحیوان بجودک و کرمک.
فرمودند	6.9971	26	در حضور قبول فرمودند و بسیار هم اظهار فرح و مسرّت کردند.
افضالک	7.0348	25	اسألک بآیاتک الّتی احاطت الممکنات و بنور وجهک الّذی منه اشرقت الأرضون و السّموات و برحمتک الّتی سبقت الموجودات و فضلک الّذی احاط الکائنات بأن تخرق لی حجبات المنع لأسرع الی منبع عزّ الهامک و مطلع وحیک و افضالک و اتغمّس فی بحر قربک و رضائک.
الواحد	7.0348	25	لا اله الّا انت المقتدر المتعالی المهیمن المتکبّر الواحد الفرد العزیز المختار.
خان	7.0348	25	این مظلوم را مرحوم مغفور حضرت مشیرالدّوله میرزا حسین خان غفر الله له شناخته بود و البتّه نزد اولیای دولت تفصیل ورود این مظلوم را در آستانه و اقوال و اعمالش را ذکر فرموده.
روشن	7.0348	25	استدعا آنکه در آنچه ظاهر شده تفکّر نمایند و بعدل و انصاف تکلّم فرمایند شاید تجلّیات انوار آفتاب صدق و صفا پرتو افکند و از تاریکی نادانی نجات بخشد و عالم را بنور دانائی روشن فرماید.
وعزتک	7.0348	25	وعزّتک یا الهی.
اصحاب	7.0741	24	قد خرقوا الأحجاب علی شأن ناحت سکّان مدائن الهوی و فزعت اصحاب الغلّ و الفحشآء الّذین زیّنوا رؤوسهم و ابدانهم بأسباب العلم و بها استکبروا علی نفسک و اعرضوا عن جمالک.
ویل	7.0741	24	طوبی لمن اقبل الیک و ویل للمعرضین.
چگونه	7.0741	24	در حضرت بدیع که حامل لوح حضرت سلطان بوده تفکّر نما که چگونه جان داد.
توقف	7.1149	23	و منهم من اقبل الیک مرّةً و توقّف مرّةً اخری و منهم من منعته الدّنیا عنک و حالت بینه و بینک.
ذلت	7.1149	23	و این مظلوم اگر سبب اعزاز نبوده علّت ذلّت هم نشده.
قوانین	7.1149	23	این اصول و قوانین و راههای محکم متین از مطلع واحد ظاهر و از مشرق واحد مشرق.
مرقوم	7.1149	23	در صحیفهٔ بیان این کلمهٔ علیا مسطور و مرقوم بگو ای دوستان!
نصرت	7.1149	23	و انّى نصرت اعدائک الّذین نقضوا عهدک و نبذوا کتابک و کفروا بک و بآیاتک.
ثروت	7.1574	22	از حقّ جلّ جلاله سائل و آمل که مشارق ثروت و اقتدار و مطالع عزّت و اختیار یعنی ملوک ارض ایّدهم الله را بر صلح اکبر تأیید فرماید.
دادند	7.1574	22	سر دادند و کلمهٔ نالائقه نگفتند.
قبضتک	7.1574	22	و انّک انت الّذی فی قبضتک ملکوت کلّ شیء تفعل ما تشآء بأمرک و تحکم ما ترید بقدرتک.
مع‌ذلک	7.1574	22	مع‌ذلک ما را اخذ نمودند و از نیاوران که در آن ایّام مقرّ سلطنت بوده سر برهنه و پای برهنه پیاده با زنجیر بسجن طهران بردند.
مقصد	7.1574	22	یا من ذکرک انیس قلوب المشتاقین و اسمک حبیب افئدة المخلصین و ثنائک محبوب المقرّبین و وجهک مقصد العارفین و دائک شفآء صدور المقبلین و بلائک غایة مراد المنقطعین.
بوحدانیتک	7.2019	21	أشهد بوحدانیّتک وفردانیّتک وبأنّک أنت الله لا إله إلا أنت
حکیم	7.2019	21	و انّک علی ذلک لقدیر حکیم.
ماند	7.2019	21	اگر از آن محروم ماند قابل ذکر نه چه الفاظ چه معانی.
التراب	7.2484	20	ترانی الیوم فی السّجن بین ایدی اعدائک و الابن علی التّراب امام وجهک.
انکار	7.2484	20	نفسی که بقدرت و قوّت الهی مقابل جمیع احزاب عالم قیام نمود و کل را بافق اعلی دعوت فرمود او را انکار نموده‌اند و نفوسی که لازال خلف استار و احجاب ساکن و بحفظ خود مشغول بآن نفوس تمسّک جسته‌اند.
بکلی	7.2484	20	اسألک بروائح قمیص فضلک الّتی تضوّعت فی الامکان بأمرک و ارادتک و بشمس مشیّتک الّتی اضآءت من افق الفضل بقدرتک و سلطانک بأن تجعل قلبی مقدّساً من الظّنون و الأوهام لأقبل بکلّی الیک یا ربّ الأنام.
دوستان	7.2484	20	در صحیفهٔ بیان این کلمهٔ علیا مسطور و مرقوم بگو ای دوستان!
سلطانه	7.2484	20	لیس له شریک فی حکمه و لا معین فی سلطانه.
سکان	7.2484	20	قد خرقوا الأحجاب علی شأن ناحت سکّان مدائن الهوی و فزعت اصحاب الغلّ و الفحشآء الّذین زیّنوا رؤوسهم و ابدانهم بأسباب العلم و بها استکبروا علی نفسک و اعرضوا عن جمالک.
