rank	term	surprisal	idf	df	example
1	أ	4.0660	6.3809	49	أ تری یا الهی بأن تمنعهم بعد هذا الاشتیاق عن لقائک او تطردهم بعد هذا الاشتعال عن باب رحمتک.
2	آه	3.3703	7.8080	11	فآه آه لو اذکرک نفس الذّکر یدلّ علی شرکی و یشهد علی غفلتی عند ظهور نور توحیدک.
3	فم	3.3651	7.8080	11	اذاً اشکرک و احمدک من قبل احبّتک بما احییتهم من الکوثر الّذی جری من فم مشیّتک.
4	صل	3.3250	7.8950	10	صلّ اللّهمّ علی البیان من اهل البهآء الّذین رکبوا علی الفلک الحمرآء باسمک العلیّ الأعلی.
5	حل	3.3171	7.7280	12	و همچنین از اقتدار ظهور ذکر فرموده و قال حلّ لمن یظهره الله ان یردّ من لم یکن فوق الأرض اعلی منه اذ ذلک خلق فی قبضته و کلّ له قانتون.
6	ضر	3.2958	7.6539	13	ای ربّ انا الّذی قبلت حبّک و ضرّ العالمین و فدیت نفسی حبّاً لأحبّائک لیصعدنّ الی سموات قربک و عرفانک و یطیرنّ فی هوآء حبّک و رضائک.
7	خذ	3.2627	7.4597	16	خذ یا الهی ایادی الخلق بأیادی فضلک ثمّ عرّفهم ما هو خیر لهم عمّا خلق فی ملکوت الانشآء.
8	إذ	3.2544	7.7280	12	هذا ما أخبرناکم به إذ کنا فی العراق وفی أرض السرّ وفی هذا المنظر المنیر.
9	ذا	3.2531	7.8080	11	فها انا ذا یا الهی قد وقعت علی التّراب بین یدیک و اعترف بعجز نفسی و اقتدار نفسک و فقر ذاتی و غنآء ذاتک و فنآء روحی و بقآء روحک و منتهی ذلّی و منتهی عزّک.
10	سه	3.2475	7.5849	14	و چون وارد حبس شدیم بعد از ورود ما را داخل دالانی ظلمانی نمودند از آنجا از سه پلّهٔ سراشیب گذشتیم و بمقرّی که معیّن نموده بودند رسیدیم.
11	خط	3.2355	7.8080	11	باید مثل آن جناب و سائر وکلای دولت مجلسی بیارایند و در آن مجلس یک لسان از السن مختلفه و همچنین یک خطّ از خطوط موجوده را اختیار نمایند و یا خطّ و لسانی بدیع ترتیب دهند و در مدارس عالم اطفال را بآن تعلیم فرمایند.
12	قم	3.2117	7.5849	14	ثمّ قم عن مقامک مقبلاً الی البیت الأعظم مطاف من فی العالم من لدن مالک القدم و قل
13	حب	3.1817	7.7280	12	قد انعدم حبیب یمیّز بین الشّهد و السّمّ فی حبّ محبوبه.
14	ذو	3.1416	7.4597	16	فوعزّتک لیس هذا ظنّی بک لأنّی ایقنت بأنّک انت الکریم ذو الفضل العمیم.
15	شر	3.1323	7.5203	15	کأنّ فی قلوبهم اضآء سراج حبّک و مصباح ودّک. لا یقلّبهم البلایا عن امرک و لا القضایا عن رضائک. اسألک یا الهی بهم و بزفرات الّتی تخرج من قلوبهم فی فراقک ان تحفظهم من شرّ اعدائک و ترزقهم ما قدّرته لأولیائک الّذین لا خوف علیهم و لا هم یحزنون
16	سن	3.0964	7.4597	16	حدّد حضرة بهاءالله سنّ البلوغ الشّرعی بخمسة عشر عاماً للذکور والإناث على السّواء
17	شب	3.0843	7.2484	20	و اگر نفسی اراده نماید بر امور این مظلوم واقف شود جواب اینست که در بعضی از لیالی و ایّام اسرای عالم و مظلومهای امم بی‌قوت شب را بروز آورده‌اند و روز را بشب.
18	اس	3.0831	7.4597	16	اینقدر معلوم و واضح و مبرهنست که کتاب بیان را اسّ کتب خود قرار فرموده.
19	دل	3.0814	7.2019	21	و قلب و لسان و دل و جان بغیر ذکر جانان مشغول گردد و یا چشم غیر جمال او ملاحظه نماید و یا گوش غیر نغمهٔ او شنود و یا رجل در غیر سبیل او مشی نماید....
20	بی	3.0664	7.4026	17	فافعل بی ما انت اهله.
21	حد	3.0419	7.2019	21	أبان حضرة ولی أمرالله أنّ منع إطالة شعر الرّأس إلى ما بعد حدّ الآذان – على عکس تحریم حلق الرّأس – خاصّ بالرجال فقط
22	بن	3.0116	7.4026	17	و همچنین حسین بن علی علیه السّلام میفرماید أ یکون لغیرک من الظّهور ما لیس لک حتّی یکون هو المظهر لک.
23	فى	2.9440	6.6553	37	الّذى بأمره ارتفعت رایة الکلمة العلیا فى ناسوت الانشآء و نصب علم یفعل ما یشآء بین الوری.
24	حبا	2.9356	7.6539	13	ای ربّ انا الّذی قبلت حبّک و ضرّ العالمین و فدیت نفسی حبّاً لأحبّائک لیصعدنّ الی سموات قربک و عرفانک و یطیرنّ فی هوآء حبّک و رضائک.
25	پس	2.9348	6.6553	37	پس مقصود از لقا لقاء نفسی است که قائم‌مقام اوست مابین عباد.
26	ام	2.9143	6.9607	27	یک حرف از کتابت امّ البیان و یک کلمهٴ از آن موجد امکان.
27	کم	2.8762	7.1574	22	کم من مخمود یا الهی اشتعل من نار امرک و کم من راقد انتبه من حلاوة ندائک.
28	ید	2.8695	6.7094	35	سبحانک یا الهی تری کلّ ذی استقامة حرّکته اریاح الامتحان و کلّ ذی استقرار انقلبته نفحات الافتتان الّا الّذین اخذوا خمر الحیوان من ید مظهر اسمک الرّحمن.
29	أی	2.8639	6.6041	39	حدّد حضرة بهاءالله القبلة بعد صعوده المبارک بأنّها المکان الذی یستقرّ به عرشه الأطهر، أی الروضة المبارکة فی البهجة، بمرج عکّا
30	ذنب	2.8638	7.8950	10	و انت تعلم یا الهی بأن لیس لهم ذنب الّا حبّک.
31	أم	2.8605	6.7964	32	أمّ الکتاب اصطلاح یطلق بصفة عامة على الکتاب الأصلیّ لشریعة إلهیّة
32	چرا	2.8539	7.6539	13	چرا در ظاهر دعوی شبانی کنید و در باطن ذئب اغنام من شده‌اید؟ مثل شما مثل ستارهٔ قبل از صبح است که در ظاهر درّی و روشن است و در باطن سبب اضلال و هلاکت کاروانهای مدینه و دیار منست.
33	لباس	2.8423	7.8950	10	و آن جمع اکثری بى لباس و فراش.
34	ذوی	2.8327	7.8950	10	اسألک بأمطار رحمتک الّتی بها انبتت فی قلوب الموحّدین اوراد الذّکر و البیان و ازهار الحکمة و التّبیان بأن ترزق عبادک و ذوی قرابتی اثمار سدرة فردانیّتک فی هذه الأیّام الّتی استویت علی عرش رحمانیّتک.
35	یکتا	2.8274	7.8950	10	آن فارس مضمار انقطاع اکلیل ثمین حیات را نثار دوست یکتا نمود.
36	کن	2.8196	6.6294	38	هذه إشارة إلى الملاّ محمد جعفر گندم پاک کن أو المغربل وهو أول من آمن بدعوة حضرة الباب فی إصفهان
37	طالب	2.8001	7.7280	12	اگر طالب باشند ارسال شود.
38	فهل	2.7999	7.7280	12	فی خصوص الوضوء، إذا قصد شخص الحمام مثلاً وغسل تمام بدنه، فهل علیه مع ذلک أن یتوضأ أم لا؟
39	جز	2.7972	6.5087	43	مع این جمعیّت محل منفذ نداشت جز طریقی که وارد شدیم.
40	نقل	2.7870	7.7280	12	و من ذکر الله فی عکّا بالغدوّ و الآصال و العشیّ و الابکار کان عند الله افضل من نقل السّیوف و الرّماح و السّلاح فی سبیل الله تعالی!
41	رقم	2.7843	7.7280	12	اولئک عباد یصلّینّ علیهم الملأ الأعلی و یکبّرنّ اهل مداین البقآء ثمّ الّذین رقم علی جبینهم من قلمک الأعلی هؤلآء.
42	جذب	2.7831	7.8950	10	لک الحمد یا الهی و اله العالمین و مقصودی و مقصود العارفین و محبوبی و محبوب الموحّدین و معبودی و معبود المقرّبین و منای و منی المخلصین و رجائی و رجآء الآملین و ملاذی و ملاذ القاصدین و ملجأی و ملجأ اللّائذین و مقصدی و مقصد المتوجّهین و منظری و منظر النّاظرین و جنّتی و جنّة البالغین و کعبتی و کعبة المشتاقین و جذبی و جذب العاشقین و نوری و نور الهائمین التّائبین و ولهی و وله الذّاکرین و کهفی و کهف الهاربین و حصنی و حصن الخائفین و ربّی و ربّ من فی السّموات و الارضین.
43	هی	2.7759	6.5087	43	بیوت العدل هی هیئات منتخبة تعمل لخدمة المجتمع على ثلاثة مستویات محلیاً، ووطنیّاً، وعالمیّاً
44	جرم	2.7719	7.8950	10	اذا قیل بأیّ جرم حبسوا؟ قالوا انّهم ارادوا ان یجدّدوا الدّین!
45	قطب	2.7641	7.8950	10	انّ ربّک یحفظ من یشآء لو یکون فى قطب البحر او فی فم الثّعبان او تحت سیوف الظّالمین.
46	ألا	2.7593	7.8080	11	ثم اذکروا فیها ربّکم الرحمن بالرَّوْح والرّیحان أَلاَ بذکره تستنیر الصدور وتَقَرُّ الأبصار.
47	فما	2.7584	7.7280	12	فما اعظم یا الهی کوثر عرفانک.
48	آتش	2.7581	7.7280	12	حاکم فارس حسینخان را دلالت نمودند که اگر این آتش را خاموشی خواهی و این رخنه و فطور را سدّ محکمی طلبی علاج فوری و چارهٔ قطعی قتل بابست.
49	أحب	2.7541	7.8950	10	ولکن التعجیل بدفن المیّت أحبّ وأولى
50	قمع	2.7486	7.8080	11	بلکه در صدد دفع و قلع و قمع مقبلین الی الله برآمده.
