rank	term	surprisal	idf	df	example
1	ر	5.5642	9.1943	2	ر. الاستجابة للدعوة إلى الولائم.
2	م	5.5620	9.1943	2	الی م ترکتنی بین عبادک.
3	ز	5.4171	8.9066	3	که ز قرآن گر نبیند غیر قال
4	ئی	5.2814	9.1943	2	و انتظام احوال و ضبط و ربط اطوار تا بدرجه‌‌ئی نرسد که اگر نفسی ولو کمال جهد مبذول نماید خود را عاجز یابد از اینکه مقدار رأس شعری از مسلک حقّانیّت تجاوز نماید اصلاح مأمول تامّ رخ ننماید.
5	ه	5.0166	8.2135	7	در جمیع کتب الهی وعد‌‌هٔ لقا صریح بوده و هست.
6	ضد	4.2431	8.9066	3	کلّا ثمّ کلّا بأن یکون لک ضدّ فی الامکان.
7	قف	4.2129	8.9066	3	و هم‌چنین قف یا محمّد انت الحبیب و انت المحبوب.
8	أ	4.0660	6.3809	49	أ تری یا الهی بأن تمنعهم بعد هذا الاشتیاق عن لقائک او تطردهم بعد هذا الاشتعال عن باب رحمتک.
9	رخ	4.0350	9.1943	2	و انتظام احوال و ضبط و ربط اطوار تا بدرجه‌‌ئی نرسد که اگر نفسی ولو کمال جهد مبذول نماید خود را عاجز یابد از اینکه مقدار رأس شعری از مسلک حقّانیّت تجاوز نماید اصلاح مأمول تامّ رخ ننماید.
10	شش	4.0182	8.9066	3	از جمله در مازندران ملّا حسین بشروئی و تابعانش را بحکم رئیس ‌الفقهآء سعیدالعلمآء عامّهٔ شهر بارفروش هجوم جمهور نمودند و شش هفت نفر را کشتند.
11	غدا	3.9815	9.1943	2	هل یبقی لأحد ما عنده من ثروته او یغنیه غداً عن مالک ناصیته لو ینظر احد فی الّذین ناموا تحت الرّضام و جاوروا الرّغام.
12	ذقت	3.9667	9.1943	2	ذقت حلاوة بیانک و اعترفت بوحدانیّتک و فردانیّتک و توجّهت الی مصدر اسمائک الحسنی و مطلع صفاتک العلیا و اردت ان تدخلنی فی لجّة بحر احدیّتک و طمطام یمّ وحدانیّتک.
13	رش	3.9186	9.1943	2	ثمّ اعلم بأنّا لو نلقی علیک رشحاً عمّا رشّ علینا من رشحات ابحر القضآء من اولی الغلّ و البغضآء لتبکی و تنوح فی العشیّ و الابکار.
14	آز	3.8999	9.1943	2	و بسته مردی که گشاینده را نشناخت و در زندان آز سرگردان بماند.
15	ثل	3.8980	9.1943	2	بکم انحطّ شأن الملّة و نکس علم الاسلام و ثلّ عرشه العظیم.
16	فثم	3.8872	9.1943	2	حُکم القبلة ثابت فی الصلاة، أما لتلاوة الأذکار فیجری ما أنزله الرحمن فی الفرقان أینما تولوا فثم وجه الله.
17	ضع	3.8696	9.1943	2	لو تکون ناظراً الی الفضل ضع ما ینفعک و خذ ما ینتفع به العباد.
18	ظمأ	3.8384	9.1943	2	هل من ذی بصر یا الهی لیراک بعینک و هل من ذی ظمأ یتوجّه الی کوثر حبّک.
19	قحط	3.8220	9.1943	2	مدّتی گذشت تا آنکه قحط و غلاء عظیمی در دیار طی روی نمود.
20	ثدی	3.8192	9.1943	2	و به آنس البهآء کأنس الرّضیع الی ثدی رحمتک و به اشتاق البهآء کاشتیاق الظّمآن الی کوثر عطائک یا رحمن یا من بیدک جبروت الامکان.
21	غن	3.8131	9.1943	2	لولاه ما هدرت الورقآء و ما غنّ عندلیب السّنآء فی جبروت القضآء.
22	ست	3.8064	9.1943	2	قد نزّلت فی صلوة المیت ست تکبیرات من الله منزل الآیات.
23	دع	3.7957	9.1943	2	یا قلم دع ذکر الانشآء و توجّه الی وجه ربّک مالک الأسمآء.
24	دشت	3.7924	9.1943	2	از جمله میرزا یحیی برادر بهآءالله پنهان شد و فراری و سرگردان بلباس درویشی کشکول بدست از راه رشت سرگشتهٔ کوه و دشت گردید.
25	آب	3.7924	8.6835	4	مرده بودم از آب حیات زندگی بخشیدی.
26	کو	3.7681	9.1943	2	علاماتی که در احادیث عترت طاهره است کو.
27	تل	3.7665	9.1943	2	هلاکوی چنگیز جنگ‌انگیز از جهان‌گیریش ثمره‌ئی مشهود نشد جز آنکه قطعهٴ آسیا از نایرهٔ حروبات شدیده چون تلّ خاکستر گشت
28	سئل	3.7630	8.9066	3	سُئل ثانیة، عند عدم وجود أولاد ذکور، هل ترجع دار السُّکنى والملابس الخاصّة إلى بیت العدل، أم تقسم کباقی الأموال؟
29	تک	3.7445	9.1943	2	انّک ان تک من اهل هذا المقام الأعلی فأت بآیة من لدی الله فاطر السّمآء.
30	حر	3.7434	9.1943	2	فلمّا ثبت تقدیس نفسک العلیا عن کلّ ما خلق فی الانشآء و خطر فی قلوب الاصفیآء و افئدة الاولیآء اذاً یلوح افق التّوحید و یظهر لکلّ حرّ و عبید انّک واحد فی ذاتک و واحد فی امرک و واحد فی ظهورک.
31	ند	3.7432	9.1943	2	بأنّک انت اللّه لا اله الّا انت وحدک لا شریک لک وحدک لا شبیه لک وحدک لا ندّ لک وحدک لا ضدّ لک.
32	أخ	3.7416	8.9066	3	هذه إشارة إلى میرزا یحیى، الملقّب بصبح أزل، وهو أخ لأب أصغر سنّاً من حضرة بهاءالله، وقد خرج على طاعته، وعارض دعوته
33	تف	3.7374	9.1943	2	تؤدّى الدیون والحقوق من سائر الأموال، فإن لم تفِ هذه الأموال، یؤخذ من دار السُّکنى والألبسة الخاصّة.
34	جا	3.7371	9.1943	2	هر جا این مظلوم رفت میرزا یحیی از عقب آمد.
35	شو	3.7355	9.1943	2	و در این دوروزهٔ عمر باعمالی مشغول شو که عرف رضا از آن متضوّع گردد و بطراز قبول مزیّن شود.
36	عجمی	3.7344	9.1943	2	و بعد از ورود در سجن اعظم از وزیر ایشان نامه و دستخطّی رسید اوّل آن بخطّ عجمی و آخر آن را بخطّ خودشان مرقوم داشته بودند.
37	اب	3.7324	9.1943	2	و مقصود از اب در این مقام حقّ جلّ جلاله است.
38	بد	3.7323	9.1943	2	فانظروا الخلق کالأغنام لا بدّ لها من راعٍ لیحفظها إنّ هذا لحقّ یقین.
39	جشن	3.7298	9.1943	2	و چون در خانهٔ کلانتر طهران محبوس بود و جشن و سور عروسی برپا شد زنان بزرگان شهر که بدعوت حاضر بودند از حسن تقریر او چنان سرگرم شدند که جشن و سرور را فراموش نموده پیرامن او انجمن شدند و باستماع کلمات از استماع نغمات ملتهی و بمشاهدهٔ غرائب از تماشای لطائف و بدائع که از لوازم سور است مستغنی گشتند.
40	جفا	3.7298	8.9066	3	نه جفا.
41	سل	3.7290	9.1943	2	یا شواطئ نهر الرّین قد رأیناک مغطّاة بالدماء بما سلّ علیک سیوف الجزاء ولک مرة أخرى ونسمع حنین البرلین ولو أنها الیوم على عزّ مبین.
42	عضو	3.7256	9.1943	2	کلّ عضو من اعضائی ینادیک و یقول یا محبوب العالمین و اله من فی السّموات و الأرضین و رجآء افئدة المخلصین.
43	سب	3.7236	9.1943	2	نالهٔ منابر را اصغا نمودیم که علمای عصر ظهور بقول جمیع بر آن ارتقا جستند و حقّ را سب نموده و بر آن جوهر وجود و اصحابش وارد آوردند آنچه که چشم عالم ندید و گوش عالم نشنید.
44	أعلن	3.7162	9.1943	2	وکان وصول حضرته إلى هذه الحدیقة فی الیوم الحادی والثلاثین بعد نیروز عام 1863 أی فی شهر نیسان أبریل من ذلک العام، وهو ابتداء الفترة التی أعلن فیها حضرة بهاءالله بعثته المبارکة على أصحابه.
45	لحم	3.7010	9.1943	2	از آن جمله حرمت و رعایت اشهر حرام و حرمت اکل لحم خنزیر و اعتبار شهور قمریّه و اسمائشان
46	ششم	3.6880	9.1943	2	اشراق ششم
47	لذ	3.6827	8.9066	3	کلّ شعر من اشعاری یقول لو لا البلایا فی سبیلک ما لذّ لی حبّک و عشقک.
48	غصب	3.6768	9.1943	2	التفات باینفقره بر هر رئیس و سلطانی لازم و واجب شاید خائن مقام امین را غصب ننماید و ناهب مقرّ حارس را.
49	زخم	3.6647	9.1943	2	ظالمهای عالم بر آن مظلوم وارد آوردند آنچه را که بعضی از ملل خارجه گریستند و نوحه نمودند چه که از قرار مذکور و معلوم سی و دو زخم بر جسد مبارکش وارد.
50	ظن	3.6514	8.6835	4	لا وعزّتک لیس هذا ظنّی و ظنّ المقرّبین من عبادک و المخلصین من بریّتک.
