rank	term	df	tf	example
0	اظهرت	30	30	و هذا یوم فیه حدّثت الأرض اخبارها و اظهرت کنوزها
1	اعدائک	30	30	کأنّ فی قلوبهم اضآء سراج حبّک و مصباح ودّک. لا یقلّبهم البلایا عن امرک و لا القضایا عن رضائک. اسألک یا الهی بهم و بزفرات الّتی تخرج من قلوبهم فی فراقک ان تحفظهم من شرّ اعدائک و ترزقهم ما قدّرته لأولیائک الّذین لا خوف علیهم و لا هم یحزنون
2	الندآء	30	30	ثمّ استقمنا علی حبّک علی شأن لا نتوجّه الی دونک و نکون من المقرّین بتقدیس ذاتک عن المثلیّة و تنزیه نفسک عن الشّبهیّة بحیث ننطق بین عبادک بأعلی النّدآء انّه هو الواحد الفرد الصّمد المقتدر العزیز الحکیم.
3	الوهاب	30	30	إنه لهو المعطی الوهاب
4	اینکه	30	30	و شیشه‌ئی خالی نزدش دیده شد مشعر بر اینکه سم خورده.
5	بعض	30	30	تفضّل حضرة عبدالبهاء وأبان أنّ الأنغام والموسیقى کانت من الأمور المذمومة عند بعض ملل الشّرق
6	عندهم	30	30	و باسمک السّخّار بأن تسخّر اهل مملکتک لیقبلنّ کلّ الی وجهک و ینقطعنّ عمّا عندهم حبّاً لنفسک و طلباً لرضائک.
7	مابین	30	30	نفحات وحی از دونش ممتاز و بیان الهی مابین کتب بمثابهٔ آفتاب مشرق و لائح.
8	مراتب	30	30	اگر ارادهٔ الهی مدد فرماید شرح مبسوطى در آنچه ذکر شد از قلم بیان جاری میگردد و شاید در مراتب علوم و فنون هم ظاهر شود آنچه که سبب تجدید عالم و امم گردد.
9	مقبلا	30	30	لک الحمد بما دللتنی الیک و هدیتنی الی افقک و اوضحت لی سبیلک و اظهرت لی دلیلک و جعلتنی مقبلاً الیک
10	وصف	30	30	وصف حضرة الباب فی کتاب البیان العربیّ أحکام المواریث التی سنّها بقوله ذلک من مخزون العلم فی کتاب الله لن یغیّر ولن یبدّل
11	النار	30	31	قد خمدت کلّ نار و ما خمدت هذه النّار الّتی اشتعلتها بأیدی قدرتک و اشتهرتها باسمک بین سمائک و ارضک.
12	شهادت	30	31	شهادت میدهم که تو بوصف ممکنات معروف نشوی و باذکار موجودات موصوف نگردی.
13	فساد	30	31	و جمیع عباد را مخصوص این حزب را بمواعظ حکیمانه و نصایح مشفقانه نصیحت نمودیم و از فساد و نزاع و جدال و محاربه منع کردیم.
14	تعرض	30	32	چه که در یک مقام قلم اعلی کل را از فساد و نزاع و جدال منع فرموده و در مقامی هم از قلم اعلی این کلمهٔ علیا نازل اگر نفسی سوء قصدی از احدی در حضور مشاهده نماید باید تعرّض نکند و بحقّ گذارد.
15	ربه	30	32	ذکر حضرة الباب فی کتاب البیان الفارسیّ طوبى لمن ینظر إلى نظم بهاءالله، ویشکر ربّه فإنّه یظهر ولا مردّ له من عند الله فی البیان
16	وقت	30	32	و این اختلافات نظر بمصالح وقت و زمان و قرون و اعصار بوده.
17	تسعة	30	33	لفظ بهاء یساوی العدد تسعة وفقاً للحساب الأبجدیّ
